t,x,y,theta,x_i,y_i,theta_i
144.441005,0,0,0,0,0,1.13752572e-05
144.445615,0,0,0,0,0,3.00426898e-05
144.448983,0,0,0,0,0,3.20201149e-05
144.453048,0,0,0,0,0,3.44073749e-05
144.458019,0,0,0,0,0,1.7467421e-05
144.461012,0,0,0,0,0,7.27061529e-06
144.465451,0,0,0,0,0,-7.85590438e-06
144.469014,0,0,0,0,0,-5.76360311e-06
144.47301,0,0,0,0,0,-3.41692872e-06
144.477826,0,0,0,0,0,1.54433349e-05
144.481055,0,0,0,0,0,2.80887123e-05
144.485297,0,0,0,0,0,4.46992147e-05
144.488999,0,0,0,0,0,4.04640161e-05
144.493033,0,0,0,0,0,3.58504601e-05
144.497658,0,0,0,0,0,2.80964006e-05
144.501003,0,0,0,0,0,2.24882072e-05
144.50513,0,0,0,0,0,1.55701073e-05
144.510051,0,0,0,0,0,2.23923257e-05
144.513072,0,0,0,0,0,2.65787896e-05
144.517583,0,0,0,0,0,3.46354134e-05
144.521155,0,0,0,0,0,4.10122256e-05
144.524983,0,0,0,0,0,4.78490282e-05
144.529906,0,0,0,0,0,5.59841028e-05
144.533069,0,0,0,0,0,6.12101906e-05
144.537335,0,0,0,0,0,4.83774566e-05
144.541013,0,0,0,0,0,3.73144543e-05
144.545007,0,0,0,0,0,2.53004724e-05
144.54975,0,0,0,0,0,3.50327707e-05
144.55298,0,0,0,0,0,4.16621126e-05
144.55718,0,0,0,0,0,5.19572628e-05
144.562169,0,0,0,0,0,6.4187005e-05
144.564987,0,0,0,0,0,7.1096358e-05
144.56958,0,0,0,0,0,5.91162514e-05
144.572988,0,0,0,0,0,5.02249832e-05
144.577144,0,0,0,0,0,4.98984753e-05
144.581994,0,0,0,0,0,4.9517456e-05
144.584993,0,0,0,0,0,4.92818481e-05
144.58952,0,0,0,0,0,6.03778e-05
144.592974,0,0,0,0,0,6.88467533e-05
144.597007,0,0,0,0,0,7.60487782e-05
144.601918,0,0,0,0,0,8.48165919e-05
144.605005,0,0,0,0,0,9.03295966e-05
144.609379,0,0,0,0,0,6.90167968e-05
144.614286,0,0,0,0,0,4.51118084e-05
144.617033,0,0,0,0,0,4.27014405e-05
144.621666,0,0,0,0,0,3.86357759e-05
144.624999,0,0,0,0,0,3.57108302e-05
144.629126,0,0,0,0,0,4.58286334e-05
144.634096,0,0,0,0,0,5.80115164e-05
144.63707,0,0,0,0,0,6.49071937e-05
144.64155,0,0,0,0,0,7.52916422e-05
144.645107,0,0,0,0,0,8.3538082e-05
144.649024,0,0,0,0,0,7.17537759e-05
144.653877,0,0,0,0,0,5.71574226e-05
144.657041,0,0,0,0,0,4.76394875e-05
144.661323,0,0,0,0,0,4.55927908e-05
144.666242,0,0,0,0,0,4.3241321e-05
144.668997,0,0,0,0,0,4.92623589e-05
144.673748,0,0,0,0,0,5.96430574e-05
144.676991,0,0,0,0,0,6.6730138e-05
144.681211,0,0,0,0,0,6.86462845e-05
144.686094,0,0,0,0,0,7.08633697e-05
144.689011,0,0,0,0,0,6.09238994e-05
144.693558,0,0,0,0,0,4.54291229e-05
144.696946,0,0,0,0,0,3.38838654e-05
144.701133,0,0,0,0,0,3.68998016e-05
144.705986,0,0,0,0,0,4.03963316e-05
144.708993,0,0,0,0,0,4.89688179e-05
144.713427,0,0,0,0,0,6.16083079e-05
144.716974,0,0,0,0,0,7.17207346e-05
144.721016,0,0,0,0,0,6.76352106e-05
144.725778,0,0,0,0,0,6.2822319e-05
144.729004,0,0,0,0,0,5.65546428e-05
144.733204,0,0,0,0,0,4.83948861e-05
144.738141,0,0,0,0,0,5.72103178e-05
144.741044,0,0,0,0,0,6.23941845e-05
144.745761,0,0,0,0,0,7.08165878e-05
144.748986,0,0,0,0,0,7.91528554e-05
144.753095,0,0,0,0,0,8.97713737e-05
144.758232,0,0,0,0,0,9.005186e-05
